booking_code,driver_id,awarded_time,cancel_passenger_time
ADR-0412887-2-153,168733,2016-04-08 10:18:59,2016-04-08 10:20:48
ADR-0414240-2-198,172248,2016-04-13 00:30:29,2016-04-13 00:31:12
ADR-0415724-2-378,175988,2016-04-09 12:20:23,2016-04-09 12:24:17
ADR-0415724-2-379,249388,2016-04-09 12:30:08,2016-04-09 12:30:27
ADR-0417363-2-158,201895,2016-04-11 09:23:58,2016-04-11 09:25:15
ADR-0418479-2-310,91825,2016-04-08 04:20:41,2016-04-08 04:21:38
ADR-0419664-2-199,28916,2016-04-08 08:16:06,2016-04-08 08:23:41
ADR-0420797-2-086,206962,2016-04-07 13:31:05,2016-04-07 13:33:57
ADR-0420993-2-000,175246,2016-04-10 08:22:59,2016-04-10 08:25:29
ADR-0421286-2-006,198109,2016-04-08 10:13:08,2016-04-08 10:14:08
ADR-0421683-2-271,89403,2016-04-10 16:45:55,2016-04-10 16:46:16
ADR-0421720-2-144,189142,2016-04-08 11:32:41,2016-04-08 11:40:13
ADR-0422526-2-274,29103,2016-04-08 11:02:01,2016-04-08 11:02:10
ADR-0422744-2-134,295901,2016-04-10 03:36:56,2016-04-10 03:42:47
ADR-0422744-2-140,278232,2016-04-10 03:44:32,2016-04-10 03:45:37
ADR-0425079-2-186,226665,2016-04-07 10:11:17,2016-04-07 10:17:23
ADR-0426630-2-1450,233824,2016-04-07 10:59:30,2016-04-07 10:59:49
ADR-0428844-2-075,36049,2016-04-10 00:05:24,2016-04-10 00:05:44
ADR-0433006-2-896,172540,2016-04-09 10:54:46,2016-04-09 11:06:53
ADR-0433496-2-263,188947,2016-04-09 06:14:48,2016-04-09 06:20:35
ADR-0437349-2-060,278168,2016-04-10 23:19:09,2016-04-10 23:19:35
ADR-0438104-2-037,141506,2016-04-13 09:20:04,2016-04-13 09:20:20
ADR-0438895-2-060,179553,2016-04-10 00:25:52,2016-04-10 00:26:39
ADR-0440914-2-330,176335,2016-04-12 12:08:44,2016-04-12 12:25:30
ADR-0442995-2-1373,293094,2016-04-09 10:00:27,2016-04-09 10:04:04
ADR-0444019-2-069,205564,2016-04-09 07:50:33,2016-04-09 07:55:05
ADR-0445961-2-1928,28540,2016-04-11 10:41:07,2016-04-11 10:41:27
ADR-0446061-2-189,210449,2016-04-13 11:49:15,2016-04-13 11:51:10
ADR-0447050-2-020,283033,2016-04-11 14:06:21,2016-04-11 14:15:30
ADR-0447427-2-462,231264,2016-04-13 02:23:37,2016-04-13 02:28:11
ADR-0448188-2-089,102650,2016-04-13 13:13:56,2016-04-13 13:15:22
ADR-0450231-2-257,184038,2016-04-08 10:38:05,2016-04-08 10:40:02
ADR-0450469-2-233,143375,2016-04-09 05:11:20,2016-04-09 05:17:56
ADR-0450643-2-281,213473,2016-04-12 10:09:35,2016-04-12 10:12:32
ADR-0453233-2-017,15447,2016-04-06 22:51:56,2016-04-06 22:52:41
ADR-0453786-2-410,232945,2016-04-11 00:35:59,2016-04-11 00:36:14
ADR-0454075-2-027,291694,2016-04-13 00:03:08,2016-04-13 00:05:49
ADR-0454758-2-157,206535,2016-04-10 12:50:13,2016-04-10 12:50:58
ADR-0455564-2-4164,195562,2016-04-08 11:06:02,2016-04-08 11:08:23
ADR-0455637-2-462,296059,2016-04-13 09:01:06,2016-04-13 09:03:58
ADR-0455637-2-463,175591,2016-04-13 13:04:39,2016-04-13 13:07:21
ADR-0455669-2-012,148402,2016-04-06 22:23:59,2016-04-06 22:27:51
ADR-0457372-2-965,136498,2016-04-07 10:09:22,2016-04-07 10:10:07
ADR-0457372-2-973,172385,2016-04-12 10:12:37,2016-04-12 10:15:53
ADR-0458598-2-704,240045,2016-04-10 23:20:59,2016-04-10 23:27:52
ADR-0458773-2-1494,245215,2016-04-08 11:46:42,2016-04-08 11:47:31
ADR-0459326-2-101,203766,2016-04-07 04:46:35,2016-04-07 04:50:29
ADR-0459579-2-051,135678,2016-04-08 09:37:30,2016-04-08 09:39:31
ADR-0460329-2-639,85689,2016-04-09 07:27:54,2016-04-09 07:30:45
ADR-0460329-2-641,143462,2016-04-09 12:58:06,2016-04-09 12:58:20
ADR-0460556-2-125,179710,2016-04-10 04:19:29,2016-04-10 04:21:12
ADR-0462790-2-221,102102,2016-04-07 06:44:59,2016-04-07 06:47:07
ADR-0462953-2-645,237396,2016-04-12 14:15:29,2016-04-12 14:16:18
ADR-0463848-2-265,92356,2016-04-07 10:02:41,2016-04-07 10:09:37
ADR-0465389-2-888,228597,2016-04-12 23:04:55,2016-04-12 23:05:12
ADR-0465389-2-889,183731,2016-04-12 23:06:22,2016-04-12 23:06:42
ADR-0467167-2-821,249372,2016-04-12 07:07:52,2016-04-12 07:08:54
ADR-0467275-2-204,158112,2016-04-07 06:11:37,2016-04-07 06:15:27
ADR-0468341-2-735,179750,2016-04-07 00:38:12,2016-04-07 00:38:32
ADR-0469222-2-111,158636,2016-04-10 13:35:16,2016-04-10 13:40:51
ADR-0469455-2-500,202645,2016-04-12 15:03:50,2016-04-12 15:09:08
ADR-0469816-2-451,130528,2016-04-12 05:46:16,2016-04-12 05:49:34
ADR-0470024-2-266,55943,2016-04-09 09:24:19,2016-04-09 09:25:23
ADR-0470172-2-083,224929,2016-04-08 08:15:11,2016-04-08 08:16:09
ADR-0470271-2-1264,248923,2016-04-13 11:51:16,2016-04-13 12:02:59
ADR-0471069-2-010,291170,2016-04-08 07:12:07,2016-04-08 07:13:15
ADR-0471445-2-068,124130,2016-04-13 08:17:54,2016-04-13 08:18:54
ADR-0472859-2-1567,199392,2016-04-09 08:21:51,2016-04-09 08:22:44
ADR-0472859-2-1569,192394,2016-04-09 08:24:05,2016-04-09 08:24:21
ADR-0474183-2-255,295293,2016-04-11 15:39:02,2016-04-11 15:40:20
ADR-0475147-2-316,134139,2016-04-09 19:18:17,2016-04-09 19:26:28
ADR-0476888-2-700,230030,2016-04-11 18:53:00,2016-04-11 18:53:14
ADR-0476888-2-709,102075,2016-04-11 18:55:59,2016-04-11 18:56:10
ADR-0476888-2-712,156983,2016-04-11 18:57:41,2016-04-11 18:57:52
ADR-0478652-2-164,231655,2016-04-12 06:02:59,2016-04-12 06:03:53
ADR-0480030-2-4107,141121,2016-04-08 01:50:07,2016-04-08 01:57:56
ADR-0481244-2-098,205330,2016-04-13 12:47:08,2016-04-13 12:52:12
ADR-0482949-2-159,107248,2016-04-13 00:22:13,2016-04-13 00:22:31
ADR-0483426-2-1369,148754,2016-04-11 04:22:22,2016-04-11 04:29:07
ADR-0483426-2-1371,185179,2016-04-11 05:08:06,2016-04-11 05:09:35
ADR-0484270-2-513,169487,2016-04-13 01:27:06,2016-04-13 01:28:46
ADR-0485323-2-419,239205,2016-04-08 04:34:37,2016-04-08 04:36:45
ADR-0485438-2-380,83113,2016-04-07 15:33:39,2016-04-07 15:33:52
ADR-0485438-2-381,290379,2016-04-07 15:34:24,2016-04-07 15:34:36
ADR-0485438-2-382,293626,2016-04-07 15:34:55,2016-04-07 15:35:05
ADR-0485438-2-626,17300,2016-04-11 19:57:25,2016-04-11 19:57:48
ADR-0485438-2-638,291180,2016-04-12 09:24:33,2016-04-12 09:26:56
ADR-0486369-2-437,199951,2016-04-12 05:12:17,2016-04-12 05:12:47
ADR-0487058-2-1430,228902,2016-04-08 10:59:40,2016-04-08 11:03:30
ADR-0487155-2-497,82852,2016-04-09 12:54:11,2016-04-09 12:55:05
ADR-0488370-2-1084,99394,2016-04-09 23:20:55,2016-04-09 23:24:18
ADR-0489169-2-192,164308,2016-04-08 00:15:02,2016-04-08 00:16:22
ADR-0489169-2-194,95924,2016-04-08 08:49:54,2016-04-08 08:52:22
ADR-0489191-2-221,106220,2016-04-11 09:32:48,2016-04-11 09:45:36
ADR-0489296-2-483,173244,2016-04-07 10:02:07,2016-04-07 10:02:31
ADR-0489296-2-484,291027,2016-04-07 10:02:49,2016-04-07 10:03:31
ADR-0489296-2-488,152268,2016-04-10 03:44:09,2016-04-10 03:44:41
ADR-0490809-2-315,138542,2016-04-10 06:46:31,2016-04-10 06:47:06
ADR-0491082-2-581,210390,2016-04-13 05:51:54,2016-04-13 06:05:32
ADR-0491259-2-1318,282816,2016-04-10 08:26:28,2016-04-10 08:28:28
ADR-0491271-2-221,284392,2016-04-07 14:48:21,2016-04-07 14:48:52
ADR-0493185-2-245,151335,2016-04-07 15:24:23,2016-04-07 15:25:11
ADR-0493568-2-586,191276,2016-04-10 11:40:08,2016-04-10 11:40:39
ADR-0494609-2-067,114277,2016-04-12 09:55:49,2016-04-12 09:56:25
ADR-0495134-2-092,82746,2016-04-09 09:11:37,2016-04-09 09:12:18
ADR-0495289-2-242,298817,2016-04-13 13:50:12,2016-04-13 13:53:50
ADR-0495302-2-2954,201416,2016-04-12 14:12:12,2016-04-12 14:12:37
ADR-0495302-2-2955,149876,2016-04-12 14:13:21,2016-04-12 14:14:03
ADR-0495358-2-547,140767,2016-04-09 14:20:26,2016-04-09 14:26:38
ADR-0495453-2-116,200073,2016-04-07 00:24:56,2016-04-07 00:26:14
ADR-0495613-2-2224,114764,2016-04-07 12:19:40,2016-04-07 12:20:05
ADR-0495613-2-2225,114141,2016-04-07 12:25:00,2016-04-07 12:25:42
ADR-0495613-2-2241,195867,2016-04-12 12:09:43,2016-04-12 12:10:34
ADR-0495651-2-576,208902,2016-04-12 00:10:41,2016-04-12 00:11:05
ADR-0495651-2-578,231703,2016-04-12 00:15:59,2016-04-12 00:16:12
ADR-0495752-2-035,221841,2016-04-08 10:32:59,2016-04-08 10:35:35
ADR-0496034-2-606,145800,2016-04-13 14:29:06,2016-04-13 14:33:16
ADR-0496933-2-155,295193,2016-04-09 11:31:37,2016-04-09 11:32:05
ADR-0497202-2-772,231687,2016-04-08 13:05:56,2016-04-08 13:07:35
ADR-0497202-2-773,278459,2016-04-08 13:07:55,2016-04-08 13:09:15
ADR-0497218-2-678,10249,2016-04-10 01:32:20,2016-04-10 01:42:53
ADR-0497218-2-693,135639,2016-04-12 08:44:42,2016-04-12 08:48:41
ADR-0497488-2-281,99403,2016-04-12 22:49:53,2016-04-12 22:50:25
ADR-0497490-2-177,175381,2016-04-08 09:15:56,2016-04-08 09:16:38
ADR-0499036-2-585,95466,2016-04-09 11:42:45,2016-04-09 11:43:09
ADR-0499262-2-620,124232,2016-04-09 04:53:27,2016-04-09 04:53:50
ADR-0499315-2-1303,206934,2016-04-09 03:46:21,2016-04-09 03:49:33
ADR-0499315-2-1304,206934,2016-04-09 03:49:58,2016-04-09 03:50:43
ADR-0499433-2-597,245046,2016-04-11 09:27:24,2016-04-11 09:34:27
ADR-0499772-2-1248,181396,2016-04-13 09:42:44,2016-04-13 09:44:39
ADR-0500091-2-521,192976,2016-04-12 02:40:14,2016-04-12 02:42:33
ADR-0500306-2-169,289175,2016-04-12 05:46:50,2016-04-12 05:47:11
ADR-0505391-2-281,244731,2016-04-12 06:22:05,2016-04-12 06:22:26
ADR-0507124-2-316,212701,2016-04-08 11:57:57,2016-04-08 12:00:05
ADR-0508181-2-154,125345,2016-04-08 14:36:46,2016-04-08 14:37:43
ADR-0509667-2-1174,217359,2016-04-13 01:00:23,2016-04-13 01:05:42
ADR-0509908-2-1141,188810,2016-04-09 02:18:32,2016-04-09 02:18:48
ADR-0509908-2-1147,87301,2016-04-11 08:00:22,2016-04-11 08:00:39
ADR-0513733-2-071,193766,2016-04-07 14:38:23,2016-04-07 14:39:19
ADR-0513733-2-072,151709,2016-04-07 14:39:47,2016-04-07 14:40:52
ADR-0513795-2-094,137645,2016-04-13 01:51:44,2016-04-13 01:53:02
ADR-0514968-2-1507,294461,2016-04-13 00:25:27,2016-04-13 00:27:23
ADR-0520988-2-673,235939,2016-04-08 15:35:09,2016-04-08 15:42:52
ADR-0520988-2-680,294307,2016-04-13 02:17:57,2016-04-13 02:18:28
ADR-0521020-2-113,91375,2016-04-10 07:32:39,2016-04-10 07:47:59
ADR-0521644-2-697,177750,2016-04-08 06:49:25,2016-04-08 06:54:51
ADR-0521644-2-701,82653,2016-04-10 10:26:41,2016-04-10 10:27:24
ADR-0521765-2-185,197027,2016-04-12 03:36:07,2016-04-12 03:39:31
ADR-0522092-2-569,213627,2016-04-07 17:45:53,2016-04-07 17:47:13
ADR-0522092-2-573,212191,2016-04-13 03:55:12,2016-04-13 03:55:51
ADR-0522377-2-206,221760,2016-04-10 11:29:47,2016-04-10 11:30:57
ADR-0522514-2-063,193851,2016-04-11 00:41:53,2016-04-11 00:43:46
ADR-0522889-2-094,181306,2016-04-09 05:15:27,2016-04-09 05:15:52
ADR-0523300-2-426,230221,2016-04-08 14:03:44,2016-04-08 14:04:02
ADR-0523308-2-1425,176255,2016-04-08 04:37:02,2016-04-08 04:38:28
ADR-0524422-2-509,130670,2016-04-11 12:01:55,2016-04-11 12:02:14
ADR-0524422-2-512,183193,2016-04-12 23:34:51,2016-04-12 23:35:15
ADR-0524473-2-248,289575,2016-04-07 00:01:32,2016-04-07 00:03:20
ADR-0524549-2-725,126876,2016-04-13 01:37:47,2016-04-13 01:39:53
ADR-0524735-2-409,140430,2016-04-12 22:57:28,2016-04-12 23:07:59
ADR-0525054-2-976,123842,2016-04-09 08:12:09,2016-04-09 08:14:12
ADR-0525475-2-665,193849,2016-04-09 01:18:03,2016-04-09 01:21:12
ADR-0525855-2-167,293176,2016-04-10 11:25:11,2016-04-10 11:25:38
ADR-0527230-2-428,182404,2016-04-12 23:25:51,2016-04-12 23:26:13
ADR-0529111-2-307,85184,2016-04-10 15:25:46,2016-04-10 15:26:47
ADR-0529111-2-309,131377,2016-04-10 23:23:06,2016-04-10 23:23:59
ADR-0529111-2-312,290376,2016-04-11 09:44:05,2016-04-11 09:45:31
ADR-0529141-2-238,247687,2016-04-12 00:35:36,2016-04-12 00:40:44
ADR-0529459-2-034,244269,2016-04-07 00:53:32,2016-04-07 00:55:32
ADR-0530045-2-141,212252,2016-04-08 10:38:28,2016-04-08 10:42:47
ADR-0530763-2-285,233651,2016-04-08 09:07:14,2016-04-08 09:07:44
ADR-0531181-2-869,212191,2016-04-13 10:07:58,2016-04-13 10:10:32
ADR-0531298-2-1153,200910,2016-04-13 08:43:06,2016-04-13 08:43:27
ADR-0531909-2-303,244739,2016-04-07 23:23:45,2016-04-07 23:38:10
ADR-0531909-2-305,89732,2016-04-09 04:22:26,2016-04-09 04:24:14
ADR-0534376-2-519,128059,2016-04-09 05:00:25,2016-04-09 05:10:52
ADR-0534592-2-1661,204909,2016-04-12 09:55:34,2016-04-12 09:58:25
ADR-0534611-2-063,114458,2016-04-13 13:52:40,2016-04-13 13:53:09
ADR-0537280-2-016,186638,2016-04-07 16:52:40,2016-04-07 16:53:07
ADR-0537280-2-017,157998,2016-04-07 16:53:31,2016-04-07 16:53:43
ADR-0537311-2-837,209631,2016-04-11 00:32:53,2016-04-11 00:36:57
ADR-0537825-2-233,295198,2016-04-10 02:56:28,2016-04-10 02:57:09
ADR-0538491-2-027,151833,2016-04-12 05:37:37,2016-04-12 05:38:33
ADR-0539049-2-748,212385,2016-04-08 05:18:38,2016-04-08 05:19:07
ADR-0539049-2-799,189124,2016-04-09 11:25:04,2016-04-09 11:25:39
ADR-0540045-2-319,139774,2016-04-12 12:54:17,2016-04-12 12:54:28
ADR-0540476-2-339,216916,2016-04-07 23:54:39,2016-04-07 23:56:01
ADR-0540476-2-354,20514,2016-04-10 23:20:27,2016-04-10 23:20:49
ADR-0540483-2-171,211182,2016-04-10 23:07:50,2016-04-10 23:09:12
ADR-0540824-2-1209,112220,2016-04-09 04:01:56,2016-04-09 04:02:06
ADR-0540956-2-250,136551,2016-04-10 16:08:16,2016-04-10 16:09:14
ADR-0541262-2-109,50108,2016-04-08 12:12:33,2016-04-08 12:13:34
ADR-0543356-2-137,217218,2016-04-13 05:02:50,2016-04-13 05:05:18
ADR-0543658-2-284,240314,2016-04-09 13:09:40,2016-04-09 13:10:10
ADR-0545029-2-1043,141396,2016-04-09 05:43:12,2016-04-09 05:43:51
ADR-0546040-2-230,201422,2016-04-08 16:12:28,2016-04-08 16:12:49
ADR-0546482-2-468,92376,2016-04-13 02:06:36,2016-04-13 02:08:50
ADR-0546990-2-426,135743,2016-04-09 04:05:02,2016-04-09 04:05:10
ADR-0547050-2-363,82653,2016-04-11 10:54:34,2016-04-11 10:57:06
ADR-0547080-2-130,134395,2016-04-11 08:19:08,2016-04-11 08:19:43
ADR-0547355-2-368,148243,2016-04-12 01:10:54,2016-04-12 01:15:47
ADR-0548705-2-318,127825,2016-04-07 10:33:04,2016-04-07 10:33:33
ADR-0548705-2-329,290166,2016-04-08 11:16:17,2016-04-08 11:30:47
ADR-0548705-2-332,194470,2016-04-09 11:10:23,2016-04-09 11:11:48
ADR-0548705-2-336,177078,2016-04-12 19:45:07,2016-04-12 19:45:27
ADR-0548705-2-337,195258,2016-04-12 19:45:50,2016-04-12 19:46:25
ADR-0548705-2-347,111850,2016-04-13 11:16:24,2016-04-13 11:16:37
ADR-0548989-2-234,77248,2016-04-12 23:21:40,2016-04-12 23:24:44
ADR-0548989-2-235,77248,2016-04-12 23:25:07,2016-04-12 23:25:55
ADR-0550946-2-394,202691,2016-04-12 15:06:35,2016-04-12 15:36:40
ADR-0551889-2-050,202314,2016-04-12 12:48:48,2016-04-12 12:52:37
ADR-0553321-2-226,110148,2016-04-08 16:37:55,2016-04-08 16:43:04
ADR-0553464-2-1175,120915,2016-04-12 00:23:36,2016-04-12 00:24:44
ADR-0553464-2-1184,120915,2016-04-12 00:26:38,2016-04-12 00:29:09
ADR-0553834-2-1201,294016,2016-04-08 14:53:46,2016-04-08 15:00:22
ADR-0555229-2-557,201895,2016-04-08 08:42:15,2016-04-08 08:49:07
ADR-0556191-2-822,174175,2016-04-08 12:57:35,2016-04-08 13:00:33
ADR-0556835-2-429,95805,2016-04-07 10:03:04,2016-04-07 10:04:10
ADR-0558210-2-583,103102,2016-04-10 06:22:18,2016-04-10 06:22:57
ADR-0558482-2-109,175058,2016-04-12 01:02:52,2016-04-12 01:03:54
ADR-0559480-2-1323,99410,2016-04-10 04:25:50,2016-04-10 04:27:04
ADR-0560040-2-998,38218,2016-04-10 06:32:55,2016-04-10 06:33:12
ADR-0561985-2-1234,251639,2016-04-10 14:55:20,2016-04-10 14:57:39
ADR-0561985-2-1235,138092,2016-04-10 15:37:47,2016-04-10 15:38:18
ADR-0562822-2-365,149748,2016-04-07 08:07:31,2016-04-07 08:11:10
ADR-0563969-2-812,213562,2016-04-13 00:24:27,2016-04-13 00:25:20
ADR-0564964-2-025,245184,2016-04-07 09:56:49,2016-04-07 09:57:40
ADR-0565168-2-801,187194,2016-04-08 10:37:56,2016-04-08 10:39:13
ADR-0565168-2-803,178321,2016-04-10 10:11:59,2016-04-10 10:13:21
ADR-0565168-2-813,48954,2016-04-13 10:22:58,2016-04-13 10:23:24
ADR-0566149-2-176,21295,2016-04-08 00:53:12,2016-04-08 00:55:16
ADR-0566149-2-184,278496,2016-04-13 15:30:20,2016-04-13 15:30:44
ADR-0566149-2-186,296972,2016-04-13 15:31:57,2016-04-13 15:32:16
ADR-0566149-2-187,278496,2016-04-13 15:33:42,2016-04-13 15:33:56
ADR-0566347-2-782,112300,2016-04-07 00:20:55,2016-04-07 00:25:53
ADR-0566944-2-236,153627,2016-04-13 12:07:24,2016-04-13 12:10:54
ADR-0568337-2-937,140738,2016-04-13 11:40:10,2016-04-13 11:40:58
ADR-0568677-2-675,236673,2016-04-08 01:30:03,2016-04-08 01:30:27
ADR-0570084-2-666,218127,2016-04-08 06:38:32,2016-04-08 06:47:56
ADR-0570084-2-671,193762,2016-04-08 07:46:43,2016-04-08 07:50:24
ADR-0570502-2-307,34432,2016-04-11 19:35:02,2016-04-11 19:35:19
ADR-0570504-2-600,90020,2016-04-11 15:34:05,2016-04-11 15:34:24
ADR-0570942-2-846,23125,2016-04-08 00:23:58,2016-04-08 00:28:41
ADR-0572600-2-130,283975,2016-04-12 00:57:33,2016-04-12 01:00:54
ADR-0572928-2-800,137385,2016-04-09 02:16:53,2016-04-09 02:21:58
ADR-0574738-2-364,202324,2016-04-13 15:30:14,2016-04-13 15:30:48
ADR-0574882-2-074,143981,2016-04-11 11:18:34,2016-04-11 11:28:11
ADR-0576490-2-897,290204,2016-04-10 07:45:23,2016-04-10 07:45:38
ADR-0578250-2-931,109985,2016-04-08 07:03:03,2016-04-08 07:04:38
ADR-0581691-2-1631,89817,2016-04-08 17:47:07,2016-04-08 17:48:07
ADR-0581691-2-1664,213335,2016-04-11 13:53:03,2016-04-11 13:56:25
ADR-0584058-2-961,115266,2016-04-07 05:21:07,2016-04-07 05:23:01
ADR-0584058-2-965,294480,2016-04-08 18:41:20,2016-04-08 18:47:08
ADR-0584257-2-132,111382,2016-04-08 20:00:00,2016-04-08 20:00:32
ADR-0586356-2-542,235149,2016-04-12 00:55:04,2016-04-12 01:01:20
ADR-0586356-2-543,195595,2016-04-12 01:01:38,2016-04-12 01:06:29
ADR-0586513-2-511,193131,2016-04-13 08:38:44,2016-04-13 08:43:28
ADR-0586661-2-344,155135,2016-04-10 12:28:20,2016-04-10 12:42:13
ADR-0588715-2-1210,213231,2016-04-08 15:00:17,2016-04-08 15:02:41
ADR-0589297-2-750,252503,2016-04-07 10:24:20,2016-04-07 10:25:39
ADR-0589814-2-1157,286858,2016-04-08 02:53:04,2016-04-08 02:57:55
ADR-0590723-2-188,239249,2016-04-10 13:13:03,2016-04-10 13:20:05
ADR-0592180-2-269,24223,2016-04-07 10:41:50,2016-04-07 10:50:32
ADR-0592420-2-796,113505,2016-04-07 16:01:38,2016-04-07 16:04:53
ADR-0593053-2-012,198928,2016-04-07 09:21:14,2016-04-07 09:25:31
