passenger1_id,completed,passenger_cancelled,Time,P-Cancel Rate,Ride Rate
314156,6,1,1,0.14,0.43
314689,12,2,1,0.14,0.86
315122,0,1,1,1.00,0.00
315265,6,3,1,0.33,0.43
316131,11,1,1,0.08,0.79
317492,6,1,1,0.14,0.43
317642,0,2,1,1.00,0.00
318694,15,1,1,0.06,1.07
318712,9,2,1,0.18,0.64
318720,11,1,1,0.08,0.79
318724,11,2,1,0.15,0.79
319074,22,1,1,0.04,1.57
320892,4,1,1,0.20,0.29
321570,20,1,7,0.05,1.43
321623,11,1,1,0.08,0.79
321849,0,2,1,1.00,0.00
323170,1,1,2,0.50,0.07
323237,11,2,1,0.15,0.79
324057,5,4,5,0.44,0.36
324780,0,2,1,1.00,0.00
325076,13,3,3,0.19,0.93
325147,0,1,1,1.00,0.00
325544,11,2,1,0.15,0.79
326211,7,2,1,0.22,0.50
326396,15,1,1,0.06,1.07
327051,11,3,1,0.21,0.79
327102,12,4,1,0.25,0.86
327740,20,1,7,0.05,1.43
327744,2,1,1,0.33,0.14
327842,3,1,1,0.25,0.21
327850,14,3,1,0.18,1.00
328024,3,1,1,0.25,0.21
328447,3,1,1,0.25,0.21
328745,5,1,5,0.17,0.36
329102,4,2,1,0.33,0.29
329202,7,2,1,0.22,0.50
329643,7,4,1,0.36,0.50
330549,16,2,2,0.11,1.14
331879,0,1,1,1.00,0.00
332075,18,2,2,0.10,1.29
332849,5,5,5,0.50,0.36
333148,0,1,1,1.00,0.00
333285,1,3,2,0.75,0.07
333706,3,1,1,0.25,0.21
333932,5,1,5,0.17,0.36
334688,1,1,2,0.50,0.07
335780,1,2,2,0.67,0.07
336262,0,1,1,1.00,0.00
336297,4,1,1,0.20,0.29
336371,1,1,2,0.50,0.07
337672,4,2,1,0.33,0.29
337691,2,3,1,0.60,0.14
338109,4,1,1,0.20,0.29
338738,0,1,1,1.00,0.00
338860,2,2,1,0.50,0.14
339888,2,5,1,0.71,0.14
340377,2,1,1,0.33,0.14
340432,1,3,2,0.75,0.07
340519,0,1,1,1.00,0.00
340549,8,3,1,0.27,0.57
340695,2,2,1,0.50,0.14
341045,16,3,2,0.16,1.14
342117,4,3,1,0.43,0.29
342279,0,1,1,1.00,0.00
342875,0,2,1,1.00,0.00
342980,5,1,5,0.17,0.36
343899,10,2,2,0.17,0.71
343907,9,1,1,0.10,0.64
343928,3,1,1,0.25,0.21
343946,0,1,1,1.00,0.00
344051,2,5,1,0.71,0.14
344205,2,1,1,0.33,0.14
344322,16,3,2,0.16,1.14
344853,1,1,2,0.50,0.07
345507,7,4,1,0.36,0.50
345796,9,2,1,0.18,0.64
346077,2,1,1,0.33,0.14
346278,0,1,1,1.00,0.00
346516,1,1,2,0.50,0.07
346665,1,1,2,0.50,0.07
346831,1,1,2,0.50,0.07
346867,4,1,1,0.20,0.29
346934,0,2,1,1.00,0.00
347065,6,2,1,0.25,0.43
347096,4,1,1,0.20,0.29
347245,5,1,5,0.17,0.36
347277,1,1,2,0.50,0.07
347747,9,1,1,0.10,0.64
349070,6,2,1,0.25,0.43
349179,2,2,1,0.50,0.14
349185,22,2,1,0.08,1.57
349265,10,1,2,0.09,0.71
349366,0,1,1,1.00,0.00
349393,4,1,1,0.20,0.29
349423,6,1,1,0.14,0.43
349495,10,1,2,0.09,0.71
349546,1,1,2,0.50,0.07
349775,2,1,1,0.33,0.14
350071,0,2,1,1.00,0.00
350093,0,1,1,1.00,0.00
350124,1,3,2,0.75,0.07
350410,10,1,2,0.09,0.71
350424,12,2,1,0.14,0.86
350478,17,1,1,0.06,1.21
350581,11,5,1,0.31,0.79
351118,6,2,1,0.25,0.43
351142,3,2,1,0.40,0.21
351150,10,1,2,0.09,0.71
351175,0,4,1,1.00,0.00
351190,11,1,1,0.08,0.79
351416,9,2,1,0.18,0.64
351640,5,1,5,0.17,0.36
351674,7,1,1,0.13,0.50
351901,7,7,1,0.50,0.50
351916,17,3,1,0.15,1.21
351929,0,1,1,1.00,0.00
352154,0,2,1,1.00,0.00
352337,3,1,1,0.25,0.21
352364,8,3,1,0.27,0.57
352368,17,1,1,0.06,1.21
352394,1,1,2,0.50,0.07
352476,4,1,1,0.20,0.29
352849,7,1,1,0.13,0.50
353118,0,2,1,1.00,0.00
354567,0,2,1,1.00,0.00
354607,12,1,1,0.08,0.86
354812,7,2,1,0.22,0.50
355122,2,1,1,0.33,0.14
355230,1,1,2,0.50,0.07
355284,0,2,1,1.00,0.00
355320,6,7,1,0.54,0.43
355324,10,3,2,0.23,0.71
355365,3,1,1,0.25,0.21
355446,0,1,1,1.00,0.00
355543,1,1,2,0.50,0.07
355681,10,1,2,0.09,0.71
355860,7,1,1,0.13,0.50
356013,20,2,7,0.09,1.43
356036,6,1,1,0.14,0.43
356203,0,1,1,1.00,0.00
356348,3,1,1,0.25,0.21
356387,6,2,1,0.25,0.43
356404,17,1,1,0.06,1.21
356575,0,5,1,1.00,0.00
356649,6,1,1,0.14,0.43
356670,5,1,5,0.17,0.36
356825,1,1,2,0.50,0.07
356977,4,1,1,0.20,0.29
357172,2,2,1,0.50,0.14
357334,1,1,2,0.50,0.07
357393,0,1,1,1.00,0.00
357795,2,2,1,0.50,0.14
357829,3,1,1,0.25,0.21
357939,19,5,1,0.21,1.36
357960,3,2,1,0.40,0.21
358192,0,1,1,1.00,0.00
358227,6,3,1,0.33,0.43
358380,6,2,1,0.25,0.43
358758,11,2,1,0.15,0.79
359092,12,1,1,0.08,0.86
359533,3,1,1,0.25,0.21
359802,12,1,1,0.08,0.86
359975,2,1,1,0.33,0.14
360200,16,1,2,0.06,1.14
360245,1,1,2,0.50,0.07
360293,3,1,1,0.25,0.21
360719,16,2,2,0.11,1.14
360737,6,1,1,0.14,0.43
360781,11,3,1,0.21,0.79
361227,4,2,1,0.33,0.29
361562,2,3,1,0.60,0.14
361820,2,2,1,0.50,0.14
361860,1,1,2,0.50,0.07
362220,11,5,1,0.31,0.79
362629,1,2,2,0.67,0.07
362819,1,1,2,0.50,0.07
362988,3,1,1,0.25,0.21
363041,7,2,1,0.22,0.50
363266,0,1,1,1.00,0.00
363397,15,3,1,0.17,1.07
364115,19,2,1,0.10,1.36
364216,1,1,2,0.50,0.07
364256,2,2,1,0.50,0.14
364487,3,5,1,0.63,0.21
364545,1,1,2,0.50,0.07
364726,9,1,1,0.10,0.64
364759,11,8,1,0.42,0.79
364828,3,2,1,0.40,0.21
365209,4,1,1,0.20,0.29
365219,18,5,2,0.22,1.29
365416,19,4,1,0.17,1.36
365482,20,1,7,0.05,1.43
365493,5,1,5,0.17,0.36
365512,0,1,1,1.00,0.00
366081,2,1,1,0.33,0.14
366189,3,1,1,0.25,0.21
366318,10,1,2,0.09,0.71
366337,1,1,2,0.50,0.07
366473,2,1,1,0.33,0.14
366478,14,3,1,0.18,1.00
366500,16,3,2,0.16,1.14
366503,21,3,3,0.13,1.50
366510,1,3,2,0.75,0.07
366755,0,1,1,1.00,0.00
367017,9,3,1,0.25,0.64
367316,5,1,5,0.17,0.36
367460,5,1,5,0.17,0.36
367797,6,2,1,0.25,0.43
369033,2,2,1,0.50,0.14
369182,4,1,1,0.20,0.29
369362,4,4,1,0.50,0.29
369514,11,1,1,0.08,0.79
370064,4,2,1,0.33,0.29
370132,3,1,1,0.25,0.21
370280,6,1,1,0.14,0.43
370918,6,1,1,0.14,0.43
371369,1,1,2,0.50,0.07
371406,10,1,2,0.09,0.71
371627,1,1,2,0.50,0.07
372210,2,1,1,0.33,0.14
372412,5,2,5,0.29,0.36
372825,4,1,1,0.20,0.29
373359,13,1,3,0.07,0.93
374431,16,1,2,0.06,1.14
375008,0,4,1,1.00,0.00
375640,5,3,5,0.38,0.36
376390,5,2,5,0.29,0.36
377660,0,1,1,1.00,0.00
378951,19,4,1,0.17,1.36
379078,2,1,1,0.33,0.14
379105,4,1,1,0.20,0.29
379154,3,1,1,0.25,0.21
379816,2,1,1,0.33,0.14
379860,4,1,1,0.20,0.29
379861,5,1,5,0.17,0.36
380096,9,2,1,0.18,0.64
380152,9,2,1,0.18,0.64
380487,0,1,1,1.00,0.00
380528,1,1,2,0.50,0.07
380589,2,1,1,0.33,0.14
380628,1,1,2,0.50,0.07
381645,6,2,1,0.25,0.43
381740,12,3,1,0.20,0.86
382455,4,2,1,0.33,0.29
382707,2,2,1,0.50,0.14
382715,10,5,2,0.33,0.71
382777,4,1,1,0.20,0.29
382988,8,4,1,0.33,0.57
383436,1,1,2,0.50,0.07
383650,8,1,1,0.11,0.57
384395,24,6,1,0.20,1.71
384410,6,2,1,0.25,0.43
384976,2,1,1,0.33,0.14
385025,2,3,1,0.60,0.14
385997,0,1,1,1.00,0.00
386190,4,1,1,0.20,0.29
386422,0,3,1,1.00,0.00
388236,19,1,1,0.05,1.36
388505,11,1,1,0.08,0.79
389384,5,2,5,0.29,0.36
390090,12,1,1,0.08,0.86
390112,5,6,5,0.55,0.36
390149,1,2,2,0.67,0.07
390239,7,1,1,0.13,0.50
390517,10,4,2,0.29,0.71
390600,4,6,1,0.60,0.29
390658,6,2,1,0.25,0.43
390977,12,1,1,0.08,0.86
391150,1,2,2,0.67,0.07
391176,28,3,3,0.10,2.00
391705,12,2,1,0.14,0.86
392396,28,3,3,0.10,2.00
392633,0,1,1,1.00,0.00
393369,6,1,1,0.14,0.43
394218,6,1,1,0.14,0.43
394478,7,2,1,0.22,0.50
394606,7,1,1,0.13,0.50
395338,0,2,1,1.00,0.00
395931,9,2,1,0.18,0.64
395952,17,1,1,0.06,1.21
396113,1,1,2,0.50,0.07
396163,0,1,1,1.00,0.00
396343,22,1,1,0.04,1.57
396587,9,6,1,0.40,0.64
396705,1,1,2,0.50,0.07
396840,14,3,1,0.18,1.00
397045,12,2,1,0.14,0.86
397079,0,1,1,1.00,0.00
397135,4,1,1,0.20,0.29
397160,1,2,2,0.67,0.07
397205,10,1,2,0.09,0.71
398050,1,1,2,0.50,0.07
398089,4,2,1,0.33,0.29
398503,2,1,1,0.33,0.14
398669,7,3,1,0.30,0.50
399297,0,1,1,1.00,0.00
399912,8,2,1,0.20,0.57
401221,0,3,1,1.00,0.00
401303,2,1,1,0.33,0.14
401520,1,1,2,0.50,0.07
401662,9,1,1,0.10,0.64
401746,2,2,1,0.50,0.14
403543,1,2,2,0.67,0.07
404238,1,1,2,0.50,0.07
404777,4,1,1,0.20,0.29
404876,3,1,1,0.25,0.21
404906,4,3,1,0.43,0.29
405824,4,1,1,0.20,0.29
406157,13,1,3,0.07,0.93
406608,1,2,2,0.67,0.07
406802,14,1,1,0.07,1.00
407810,2,1,1,0.33,0.14
407897,2,2,1,0.50,0.14
408213,9,3,1,0.25,0.64
408225,3,1,1,0.25,0.21
408676,4,1,1,0.20,0.29
408689,10,3,2,0.23,0.71
409020,2,1,1,0.33,0.14
409024,0,1,1,1.00,0.00
409896,18,5,2,0.22,1.29
409964,16,1,2,0.06,1.14
410575,3,1,1,0.25,0.21
411175,2,1,1,0.33,0.14
412251,1,1,2,0.50,0.07
412356,3,1,1,0.25,0.21
412405,1,1,2,0.50,0.07
412413,0,1,1,1.00,0.00
412524,2,2,1,0.50,0.14
412887,4,1,1,0.20,0.29
412945,15,5,1,0.25,1.07
413212,0,1,1,1.00,0.00
413233,3,1,1,0.25,0.21
413689,16,1,2,0.06,1.14
413771,6,2,1,0.25,0.43
414240,8,1,1,0.11,0.57
415088,0,2,1,1.00,0.00
415214,0,2,1,1.00,0.00
415267,17,4,1,0.19,1.21
415583,4,2,1,0.33,0.29
415724,3,3,1,0.50,0.21
416151,17,8,1,0.32,1.21
416153,2,1,1,0.33,0.14
416384,2,2,1,0.50,0.14
417024,9,7,1,0.44,0.64
417363,6,1,1,0.14,0.43
417826,0,1,1,1.00,0.00
417907,4,2,1,0.33,0.29
417973,3,4,1,0.57,0.21
418057,9,2,1,0.18,0.64
418479,3,2,1,0.40,0.21
418677,2,1,1,0.33,0.14
418719,0,2,1,1.00,0.00
419218,2,1,1,0.33,0.14
419242,2,1,1,0.33,0.14
419366,0,1,1,1.00,0.00
419472,0,1,1,1.00,0.00
419664,6,1,1,0.14,0.43
420042,1,6,2,0.86,0.07
420336,0,1,1,1.00,0.00
420454,2,3,1,0.60,0.14
420618,12,11,1,0.48,0.86
420797,0,1,1,1.00,0.00
420832,8,1,1,0.11,0.57
420993,0,1,1,1.00,0.00
421042,2,1,1,0.33,0.14
421104,13,2,3,0.13,0.93
421174,4,1,1,0.20,0.29
421199,3,1,1,0.25,0.21
421286,1,1,2,0.50,0.07
421290,2,3,1,0.60,0.14
421359,23,1,1,0.04,1.64
421427,0,1,1,1.00,0.00
421437,4,1,1,0.20,0.29
421511,2,2,1,0.50,0.14
421556,4,1,1,0.20,0.29
421634,6,2,1,0.25,0.43
421641,16,1,2,0.06,1.14
421683,6,1,1,0.14,0.43
421720,5,1,5,0.17,0.36
421729,7,3,1,0.30,0.50
421740,2,1,1,0.33,0.14
421744,20,4,7,0.17,1.43
421748,5,1,5,0.17,0.36
421798,24,6,1,0.20,1.71
422080,0,1,1,1.00,0.00
422499,3,1,1,0.25,0.21
422526,0,1,1,1.00,0.00
422529,7,1,1,0.13,0.50
422744,1,2,2,0.67,0.07
423175,2,1,1,0.33,0.14
423383,1,1,2,0.50,0.07
423502,7,1,1,0.13,0.50
423529,15,3,1,0.17,1.07
424894,9,1,1,0.10,0.64
425079,1,1,2,0.50,0.07
425651,1,2,2,0.67,0.07
425881,4,5,1,0.56,0.29
426035,2,1,1,0.33,0.14
426596,1,2,2,0.67,0.07
426630,19,5,1,0.21,1.36
426718,5,5,5,0.50,0.36
427181,25,2,2,0.07,1.79
427536,2,3,1,0.60,0.14
428409,12,3,1,0.20,0.86
428515,3,1,1,0.25,0.21
428573,15,3,1,0.17,1.07
428577,10,1,2,0.09,0.71
428603,10,3,2,0.23,0.71
428672,13,1,3,0.07,0.93
428690,3,1,1,0.25,0.21
428724,2,3,1,0.60,0.14
428734,14,1,1,0.07,1.00
428748,2,1,1,0.33,0.14
428776,8,1,1,0.11,0.57
428822,12,1,1,0.08,0.86
428844,0,1,1,1.00,0.00
428894,7,1,1,0.13,0.50
430550,1,2,2,0.67,0.07
430754,0,1,1,1.00,0.00
430807,8,1,1,0.11,0.57
431257,1,2,2,0.67,0.07
431685,2,2,1,0.50,0.14
432074,1,1,2,0.50,0.07
433006,0,1,1,1.00,0.00
433429,0,1,1,1.00,0.00
433489,2,1,1,0.33,0.14
433496,19,2,1,0.10,1.36
433535,1,4,2,0.80,0.07
433546,5,2,5,0.29,0.36
433717,8,4,1,0.33,0.57
434496,8,1,1,0.11,0.57
434643,2,1,1,0.33,0.14
434679,10,5,2,0.33,0.71
435025,7,1,1,0.13,0.50
435091,1,1,2,0.50,0.07
435143,0,1,1,1.00,0.00
435163,4,1,1,0.20,0.29
435396,3,2,1,0.40,0.21
435951,3,1,1,0.25,0.21
436621,13,7,3,0.35,0.93
436734,0,2,1,1.00,0.00
436843,7,1,1,0.13,0.50
436883,5,3,5,0.38,0.36
437065,1,1,2,0.50,0.07
437330,5,1,5,0.17,0.36
437349,0,1,1,1.00,0.00
437409,4,3,1,0.43,0.29
437764,9,5,1,0.36,0.64
437855,23,1,1,0.04,1.64
437925,34,6,6,0.15,2.43
438067,13,1,3,0.07,0.93
438104,1,1,2,0.50,0.07
438145,4,1,1,0.20,0.29
438274,0,1,1,1.00,0.00
438409,0,1,1,1.00,0.00
438895,1,1,2,0.50,0.07
439830,3,1,1,0.25,0.21
439881,7,1,1,0.13,0.50
439882,13,1,3,0.07,0.93
439890,2,2,1,0.50,0.14
440341,6,1,1,0.14,0.43
440914,15,3,1,0.17,1.07
441426,0,1,1,1.00,0.00
442059,0,1,1,1.00,0.00
442379,3,1,1,0.25,0.21
442995,1,3,2,0.75,0.07
443563,1,1,2,0.50,0.07
443691,3,3,1,0.50,0.21
444019,2,1,1,0.33,0.14
444262,2,1,1,0.33,0.14
444279,11,1,1,0.08,0.79
444306,4,1,1,0.20,0.29
444334,13,1,3,0.07,0.93
444955,0,1,1,1.00,0.00
445226,6,1,1,0.14,0.43
445245,3,2,1,0.40,0.21
445415,4,1,1,0.20,0.29
445616,0,1,1,1.00,0.00
445955,20,2,7,0.09,1.43
445961,3,1,1,0.25,0.21
446001,2,2,1,0.50,0.14
446014,10,3,2,0.23,0.71
446016,0,1,1,1.00,0.00
446053,4,2,1,0.33,0.29
446061,0,1,1,1.00,0.00
446092,16,2,2,0.11,1.14
446186,2,3,1,0.60,0.14
446598,8,1,1,0.11,0.57
446633,9,1,1,0.10,0.64
446752,11,2,1,0.15,0.79
446886,1,1,2,0.50,0.07
446927,25,8,2,0.24,1.79
446928,4,1,1,0.20,0.29
446997,11,2,1,0.15,0.79
447050,10,5,2,0.33,0.71
447314,8,5,1,0.38,0.57
447361,4,1,1,0.20,0.29
447427,7,3,1,0.30,0.50
447788,0,1,1,1.00,0.00
447839,0,1,1,1.00,0.00
448016,6,2,1,0.25,0.43
448021,9,2,1,0.18,0.64
448051,0,1,1,1.00,0.00
448188,9,2,1,0.18,0.64
448413,4,1,1,0.20,0.29
448528,0,1,1,1.00,0.00
448535,4,1,1,0.20,0.29
448797,4,3,1,0.43,0.29
449271,5,1,5,0.17,0.36
449385,2,2,1,0.50,0.14
449502,4,1,1,0.20,0.29
450226,27,2,2,0.07,1.93
450231,4,1,1,0.20,0.29
450395,11,1,1,0.08,0.79
450469,2,1,1,0.33,0.14
450518,3,1,1,0.25,0.21
450543,9,3,1,0.25,0.64
450643,7,1,1,0.13,0.50
451039,4,2,1,0.33,0.29
451214,11,3,1,0.21,0.79
451226,3,1,1,0.25,0.21
451302,12,4,1,0.25,0.86
451926,0,5,1,1.00,0.00
452072,3,1,1,0.25,0.21
452268,2,1,1,0.33,0.14
452337,6,1,1,0.14,0.43
452911,20,2,7,0.09,1.43
452962,1,1,2,0.50,0.07
453233,0,2,1,1.00,0.00
453250,5,4,5,0.44,0.36
453310,2,1,1,0.33,0.14
453786,12,1,1,0.08,0.86
453941,4,2,1,0.33,0.29
453966,12,1,1,0.08,0.86
454050,20,1,7,0.05,1.43
454054,4,1,1,0.20,0.29
454075,0,1,1,1.00,0.00
454390,1,1,2,0.50,0.07
454455,17,1,1,0.06,1.21
454758,5,2,5,0.29,0.36
454837,2,2,1,0.50,0.14
454910,11,5,1,0.31,0.79
455287,1,1,2,0.50,0.07
455346,2,1,1,0.33,0.14
455564,5,1,5,0.17,0.36
455587,9,1,1,0.10,0.64
455637,5,3,5,0.38,0.36
455669,0,1,1,1.00,0.00
456298,6,2,1,0.25,0.43
456348,14,3,1,0.18,1.00
456505,0,1,1,1.00,0.00
456657,2,1,1,0.33,0.14
457192,5,1,5,0.17,0.36
457353,17,2,1,0.11,1.21
457360,9,1,1,0.10,0.64
457372,7,2,1,0.22,0.50
457504,0,2,1,1.00,0.00
457562,12,2,1,0.14,0.86
457584,4,1,1,0.20,0.29
458403,5,4,5,0.44,0.36
458458,1,1,2,0.50,0.07
458560,7,1,1,0.13,0.50
458566,1,2,2,0.67,0.07
458598,12,1,1,0.08,0.86
458773,10,3,2,0.23,0.71
459118,7,1,1,0.13,0.50
459142,0,2,1,1.00,0.00
459326,3,1,1,0.25,0.21
459379,3,1,1,0.25,0.21
459579,18,1,2,0.05,1.29
460061,15,6,1,0.29,1.07
460112,3,5,1,0.63,0.21
460329,19,3,1,0.14,1.36
460556,7,1,1,0.13,0.50
460731,4,1,1,0.20,0.29
460981,7,1,1,0.13,0.50
461284,3,1,1,0.25,0.21
461592,27,1,2,0.04,1.93
461818,3,5,1,0.63,0.21
461980,7,1,1,0.13,0.50
462076,9,2,1,0.18,0.64
462251,3,1,1,0.25,0.21
462501,5,3,5,0.38,0.36
462575,0,1,1,1.00,0.00
462790,9,2,1,0.18,0.64
462866,20,3,7,0.13,1.43
462953,1,2,2,0.67,0.07
463148,4,3,1,0.43,0.29
463524,0,1,1,1.00,0.00
463660,16,5,2,0.24,1.14
463848,2,1,1,0.33,0.14
463855,3,2,1,0.40,0.21
463888,25,1,2,0.04,1.79
464205,23,1,1,0.04,1.64
464231,16,4,2,0.20,1.14
464241,0,1,1,1.00,0.00
464267,0,1,1,1.00,0.00
464646,6,1,1,0.14,0.43
464786,0,1,1,1.00,0.00
465055,4,3,1,0.43,0.29
465111,6,2,1,0.25,0.43
465389,16,4,2,0.20,1.14
465432,4,1,1,0.20,0.29
465581,0,1,1,1.00,0.00
465698,5,2,5,0.29,0.36
465934,8,1,1,0.11,0.57
466076,13,7,3,0.35,0.93
466165,17,1,1,0.06,1.21
466166,3,1,1,0.25,0.21
466623,6,1,1,0.14,0.43
466642,13,1,3,0.07,0.93
466783,0,1,1,1.00,0.00
466873,0,2,1,1.00,0.00
467167,15,2,1,0.12,1.07
467169,15,3,1,0.17,1.07
467265,0,1,1,1.00,0.00
467275,7,1,1,0.13,0.50
467296,3,2,1,0.40,0.21
467531,3,1,1,0.25,0.21
467540,2,1,1,0.33,0.14
467662,1,1,2,0.50,0.07
467731,2,1,1,0.33,0.14
467811,3,1,1,0.25,0.21
467896,5,2,5,0.29,0.36
468249,9,1,1,0.10,0.64
468341,7,1,1,0.13,0.50
468614,5,1,5,0.17,0.36
468695,0,1,1,1.00,0.00
468808,1,2,2,0.67,0.07
468835,5,1,5,0.17,0.36
468866,0,1,1,1.00,0.00
468919,0,1,1,1.00,0.00
469093,1,1,2,0.50,0.07
469151,34,2,6,0.06,2.43
469158,8,2,1,0.20,0.57
469207,6,1,1,0.14,0.43
469222,0,1,1,1.00,0.00
469258,0,1,1,1.00,0.00
469318,8,1,1,0.11,0.57
469344,2,1,1,0.33,0.14
469415,10,1,2,0.09,0.71
469455,34,2,6,0.06,2.43
469498,3,1,1,0.25,0.21
469566,11,2,1,0.15,0.79
469671,4,1,1,0.20,0.29
469779,1,1,2,0.50,0.07
469812,7,2,1,0.22,0.50
469816,6,2,1,0.25,0.43
469906,2,1,1,0.33,0.14
470024,1,1,2,0.50,0.07
470029,21,1,3,0.05,1.50
470039,20,1,7,0.05,1.43
470041,2,2,1,0.50,0.14
470172,3,2,1,0.40,0.21
470271,10,1,2,0.09,0.71
470339,4,2,1,0.33,0.29
470415,7,1,1,0.13,0.50
470498,4,1,1,0.20,0.29
470733,3,3,1,0.50,0.21
470778,11,1,1,0.08,0.79
470901,1,3,2,0.75,0.07
471069,4,1,1,0.20,0.29
471113,6,1,1,0.14,0.43
471255,14,3,1,0.18,1.00
471445,12,1,1,0.08,0.86
471555,12,1,1,0.08,0.86
471652,3,1,1,0.25,0.21
472260,2,2,1,0.50,0.14
472614,5,1,5,0.17,0.36
472726,3,3,1,0.50,0.21
472808,1,1,2,0.50,0.07
472859,11,3,1,0.21,0.79
473010,7,1,1,0.13,0.50
473568,0,1,1,1.00,0.00
473573,7,1,1,0.13,0.50
473967,3,1,1,0.25,0.21
474183,1,1,2,0.50,0.07
474204,14,2,1,0.13,1.00
474780,1,3,2,0.75,0.07
475147,4,2,1,0.33,0.29
475528,3,1,1,0.25,0.21
475691,11,1,1,0.08,0.79
475829,1,1,2,0.50,0.07
476333,0,1,1,1.00,0.00
476888,1,3,2,0.75,0.07
477012,2,1,1,0.33,0.14
477170,4,1,1,0.20,0.29
477409,16,1,2,0.06,1.14
477478,2,1,1,0.33,0.14
477545,2,1,1,0.33,0.14
477565,11,1,1,0.08,0.79
477591,2,1,1,0.33,0.14
478100,2,1,1,0.33,0.14
478123,7,2,1,0.22,0.50
478239,0,2,1,1.00,0.00
478269,14,1,1,0.07,1.00
478440,6,1,1,0.14,0.43
478535,5,1,5,0.17,0.36
478652,23,1,1,0.04,1.64
478657,2,1,1,0.33,0.14
478659,0,1,1,1.00,0.00
478880,9,1,1,0.10,0.64
479023,7,1,1,0.13,0.50
479468,1,2,2,0.67,0.07
479965,2,3,1,0.60,0.14
480030,7,1,1,0.13,0.50
480288,2,2,1,0.50,0.14
480547,5,1,5,0.17,0.36
480617,0,2,1,1.00,0.00
480706,6,5,1,0.45,0.43
480709,0,1,1,1.00,0.00
480798,19,6,1,0.24,1.36
480828,15,1,1,0.06,1.07
480855,1,1,2,0.50,0.07
480991,25,1,2,0.04,1.79
481244,3,1,1,0.25,0.21
481402,1,1,2,0.50,0.07
481539,1,2,2,0.67,0.07
481885,4,2,1,0.33,0.29
481919,4,1,1,0.20,0.29
482185,19,1,1,0.05,1.36
482249,9,3,1,0.25,0.64
482295,11,1,1,0.08,0.79
482490,11,5,1,0.31,0.79
482519,23,1,1,0.04,1.64
482716,17,1,1,0.06,1.21
482731,0,1,1,1.00,0.00
482750,0,1,1,1.00,0.00
482949,17,1,1,0.06,1.21
483002,0,1,1,1.00,0.00
483025,3,1,1,0.25,0.21
483062,8,4,1,0.33,0.57
483069,1,1,2,0.50,0.07
483421,0,1,1,1.00,0.00
483426,16,3,2,0.16,1.14
483430,0,2,1,1.00,0.00
483705,3,1,1,0.25,0.21
483747,5,1,5,0.17,0.36
483847,8,2,1,0.20,0.57
483914,2,2,1,0.50,0.14
